Date,Open,High,Low,Close,Volume,Adj Close
2012-07-12,23.55668,23.85369,23.41747,23.4825,1286800,20.25827
2012-07-11,23.57527,23.82585,23.33394,23.501,1202200,20.27423
2012-07-10,23.88154,24.10427,23.59387,23.64021,1623800,20.39432
2012-07-09,24.03934,24.27142,23.89088,23.90013,1812300,20.61856
2012-07-06,24.43847,24.54984,23.98366,24.28067,1240600,20.94685
2012-07-05,24.55909,24.61477,24.3456,24.42922,1244900,21.07501
2012-07-04,24.95822,24.95822,24.522,24.57768,1409400,21.20308
2012-07-03,24.92113,25.2088,24.72614,24.79117,1030600,21.38726
2012-07-02,24.522,24.97682,24.38279,24.8747,1735700,21.45931
2012-06-29,23.57527,24.62412,23.57527,24.13221,3122700,20.81877
2012-06-28,23.94656,24.03009,23.67739,23.72373,3313500,20.46638
2012-06-27,23.52884,23.76092,23.39888,23.76092,741500,20.49846
2012-06-26,23.29685,23.52884,23.21333,23.52884,2080600,20.29825
2012-06-25,23.61237,23.64955,23.3247,23.64021,1657500,20.39432
2012-06-22,23.51034,23.73308,23.3061,23.73308,1467400,20.47444
2012-06-21,23.57527,23.86304,23.39888,23.66805,3193500,20.41834
2012-06-20,24.54984,24.57768,23.91872,24.13221,1431300,20.81877
2012-06-19,23.75167,24.38279,23.75167,24.13221,1052000,20.81877
2012-06-18,24.20639,24.41988,24.11824,24.26208,1139600,20.93081
2012-06-15,23.57527,23.84445,23.35254,23.64021,2598300,20.39432
2012-06-14,23.66805,23.94656,23.3247,23.33394,1750000,20.13011
2012-06-13,24.38279,24.61477,23.58452,23.94656,2133900,20.65862
2012-06-12,24.50341,24.84686,24.3456,24.41988,1401000,21.06695
2012-06-11,24.41063,24.41063,24.41063,24.41063,000,21.05897
2012-06-08,24.58693,24.79117,24.31776,24.41063,1820800,21.05897
2012-06-07,24.91179,24.91179,24.62412,24.78192,3071600,21.37928
2012-06-06,24.3271,24.85611,24.14146,24.29926,2444800,20.96289
2012-06-05,24.41063,24.70764,24.27142,24.33635,2410900,20.99489
2012-06-04,24.12287,24.25283,23.97441,24.17855,3390200,20.85875
2012-06-01,24.91179,25.00466,24.77258,24.91179,2275300,21.49131
2012-05-31,24.59628,25.19955,24.58693,25.0325,4600500,21.59545
2012-05-30,24.91179,25.16246,24.64262,25.11603,1429100,21.66751
2012-05-29,24.43847,25.37586,24.31776,24.93963,1340900,21.51533
2012-05-28,24.13221,24.77258,24.08578,24.61477,1623300,21.23508
2012-05-25,24.13221,24.41063,23.82585,23.97441,2607800,20.68264
2012-05-24,23.97441,24.50341,23.97441,24.26208,2462000,20.93081
2012-05-23,24.3642,24.38279,23.97441,24.11362,1610000,20.80273
2012-05-22,24.3271,24.53125,24.03472,24.53125,2732200,21.16302
2012-05-21,24.03009,24.35495,23.86304,24.09502,2477600,20.78669
2012-05-18,23.80735,24.03934,23.34319,23.99291,3622600,20.6986
2012-05-17,24.59628,24.90254,24.22499,24.49416,2672200,21.13102
2012-05-16,25.61718,25.70071,24.84686,24.90254,2829100,21.48333
2012-05-15,26.18337,26.31333,25.58934,25.90495,2497000,22.34811
2012-05-14,26.45254,26.76815,26.36902,26.72171,1582900,23.05273
2012-05-11,25.82142,26.33193,25.79358,26.31333,2026700,22.70042
2012-05-10,25.7379,26.09059,25.57084,26.03491,2065500,22.46023
2012-05-09,25.34811,25.47797,25.07894,25.47797,2323400,21.97976
2012-05-08,25.62653,25.92354,25.2088,25.50582,3143200,22.00378
2012-05-07,25.8957,25.97923,25.34811,25.39445,3673700,21.9077
2012-05-04,26.74956,26.89811,26.66603,26.74031,1396200,22.45811
2012-05-03,27.19513,27.31574,26.9352,27.00948,1880400,22.68417
2012-05-02,27.19513,27.49214,27.00023,27.42711,1253000,23.03493
2012-05-01,27.08376,27.10226,26.74956,27.08376,1181400,22.74656
2012-04-30,27.05591,27.30649,26.74031,27.1116,1419200,22.76994
2012-04-27,26.66603,27.49214,26.62894,27.16728,4769000,22.81671
2012-04-26,26.79599,26.85168,26.2669,26.38761,1924700,22.16189
2012-04-25,26.35977,26.35977,26.35977,26.35977,000,22.13851
2012-04-24,26.54541,26.71247,26.17412,26.35977,2798700,22.13851
2012-04-23,26.69387,27.1116,26.52682,26.76815,2201100,22.48149
2012-04-20,27.13944,27.14869,26.71247,26.84243,1298800,22.54387
2012-04-19,27.72412,27.7984,27.00948,27.16728,2424900,22.81671
2012-04-18,27.38077,27.90977,27.35293,27.63135,2919200,23.20646
2012-04-17,26.6011,27.22297,26.54541,27.02807,2010300,22.69979
2012-04-16,26.61969,26.72171,26.34117,26.48038,1767800,22.23981
2012-04-13,26.71247,26.96304,26.56391,26.90736,1791000,22.59841
2012-04-12,25.79358,26.17412,25.68221,26.17412,1395400,21.98259
2012-04-11,26.35977,26.52682,25.7379,25.90495,2056500,21.75653
2012-04-10,26.2484,26.84243,26.21121,26.76815,982300,22.48149
2012-04-09,26.64744,26.64744,26.64744,26.64744,000,22.38011
2012-04-06,26.64744,26.64744,26.64744,26.64744,000,22.38011
2012-04-05,26.74031,26.83308,26.4247,26.64744,1558300,22.38011
2012-04-04,26.86092,27.22297,26.7774,26.94455,1041000,22.62964
2012-04-03,26.96304,27.1116,26.73106,27.05591,1181100,22.72317
2012-04-02,27.33433,27.42711,26.70322,26.7774,2015100,22.48926
2012-03-30,26.88877,27.4643,26.88877,26.99089,5788900,22.66856
2012-03-29,27.51064,27.93761,27.27865,27.32509,2229900,22.94924
2012-03-28,27.42711,28.00264,27.30649,27.77056,2506800,23.32338
2012-03-27,26.71247,27.55707,26.69387,27.42711,2528700,23.03493
2012-03-26,26.68462,26.98164,26.52682,26.52682,939200,22.27881
2012-03-23,26.80524,26.86092,26.39686,26.70322,1837900,22.42696
2012-03-22,26.06275,27.24146,26.06275,27.01873,2608300,22.69194
2012-03-21,25.96063,26.4247,25.84002,26.23906,1478200,22.03713
2012-03-20,26.14628,26.14628,25.67296,25.96063,1485800,21.80329
2012-03-19,25.55225,26.44329,25.44088,26.00707,2169600,21.84229
2012-03-16,25.43163,25.55225,25.21815,25.55225,1634600,21.46031
2012-03-15,25.42229,25.46873,25.2274,25.41304,1880400,21.34339
2012-03-14,25.16246,25.43163,24.97682,25.27383,2163300,21.22647
2012-03-13,24.54984,24.91179,24.22499,24.75408,1967000,20.78996
2012-03-12,24.00225,24.55909,24.00225,24.3642,1587300,20.46251
2012-03-09,24.0115,24.11362,23.70524,23.94656,1722400,20.11176
2012-03-08,23.8352,24.07653,23.64955,23.77942,1585200,19.97138
2012-03-07,23.99291,24.74011,23.68664,23.68664,1766100,19.89346
2012-03-06,24.61477,24.82826,24.21574,24.3456,1387700,20.44689
2012-03-05,24.89329,24.90254,24.522,24.8747,785400,20.89126
2012-03-02,24.59628,24.86545,24.59628,24.78192,1051200,20.81334
2012-03-01,24.71689,24.97682,24.3271,24.41988,1201800,20.50928
2012-02-29,25.14387,25.2088,24.80976,24.84686,2465300,20.86788
2012-02-28,25.28308,25.45013,24.94898,25.32951,967200,21.27324
2012-02-27,24.89329,25.14387,24.84686,25.06959,847600,21.05494
2012-02-24,25.051,25.24599,24.83761,25.06959,3632000,21.05494
2012-02-23,24.92113,25.06034,24.68905,24.83761,1315000,20.86011
2012-02-22,25.52441,25.52441,24.95822,25.33877,1235900,21.28101
2012-02-21,25.07894,25.63578,25.07894,25.62653,2096800,21.52269
2012-02-20,24.84686,25.25524,24.72614,25.16246,1272800,21.13294
2012-02-17,24.90254,24.93963,24.41063,24.46632,1203600,20.54827
2012-02-16,24.43847,24.74474,24.17855,24.59628,2248300,20.65742
2012-02-15,24.97682,24.97682,24.43847,24.63337,2310500,20.68858
2012-02-14,25.19955,25.46873,24.62412,24.85611,1877000,20.87564
2012-02-13,25.18096,25.5615,24.78192,25.47797,1847500,21.39793
2012-02-10,25.10678,25.31092,24.77258,25.18096,3321000,21.14848
2012-02-09,24.79117,25.10678,24.41063,24.93038,3250800,20.93802
2012-02-08,24.06718,25.04175,23.99291,24.79117,3290300,20.82111
2012-02-07,23.17614,24.23423,22.98125,24.03934,5826200,20.18968
2012-02-06,23.6588,24.42922,23.60312,24.22499,3839400,20.34559
2012-02-03,23.21333,23.35254,23.04618,23.19473,1436900,19.48032
2012-02-02,23.55668,23.64021,23.17614,23.37103,3169800,19.62839
2012-02-01,23.60312,23.6588,23.18548,23.22258,1647000,19.50371
2012-01-31,23.6588,23.8352,23.51034,23.66805,1928800,19.87784
2012-01-30,23.34319,23.78876,23.33394,23.77017,1009300,19.96361
2012-01-27,23.71448,23.97441,23.61237,23.69589,1805600,19.90123
2012-01-26,23.73308,23.73308,23.73308,23.73308,000,19.93246
2012-01-25,23.20398,23.74233,23.15764,23.73308,3324900,19.93246
2012-01-24,23.13905,23.51034,22.96265,23.20398,2863600,19.48809
2012-01-23,22.69348,23.16689,22.51718,23.13905,2880100,19.43356
2012-01-20,22.41506,22.73992,22.36863,22.73992,3424700,19.09834
2012-01-19,22.11805,22.15514,21.81178,22.03452,3260700,18.50591
2012-01-18,21.58905,21.66323,21.2456,21.5797,1718000,18.12393
2012-01-17,21.36622,21.7561,21.35697,21.65398,1186700,18.18631
2012-01-16,21.45909,21.51477,21.15273,21.227,1574900,17.82771
2012-01-13,22.08096,22.08096,21.70966,21.77469,1240600,18.28769
2012-01-12,21.95099,22.08096,21.83963,21.88606,1486600,18.38122
2012-01-11,22.06236,22.20157,21.88606,21.95099,1997400,18.43576
2012-01-10,22.13664,22.32229,22.01593,22.04377,2797200,18.51368
2012-01-09,22.56361,22.58211,22.08096,22.08096,2020900,18.54491
2012-01-06,22.972,23.06477,22.42431,22.50793,1920700,18.90351
2012-01-05,22.39647,22.78635,22.36863,22.78635,970800,19.13734
2012-01-04,22.45225,22.9905,22.43365,22.78635,1585900,19.13734
2012-01-03,22.35938,22.35938,22.23876,22.2666,995500,18.70082
2012-01-02,22.08096,22.08096,22.08096,22.08096,000,18.54491
2011-12-30,22.18307,22.36863,22.02527,22.08096,357700,18.54491
2011-12-29,22.09945,22.36863,21.94175,22.16448,604900,18.61506
2011-12-28,22.47999,22.6378,21.96959,22.13664,804100,18.59167
2011-12-27,22.17373,22.17373,22.17373,22.17373,000,18.62283
2011-12-26,22.17373,22.17373,22.17373,22.17373,000,18.62283
2011-12-23,22.43365,22.60071,22.19232,22.36863,2325700,18.78651
2011-12-22,22.27585,22.36863,22.07161,22.17373,1571800,18.62283
2011-12-21,22.32229,22.64714,22.18307,22.35938,1774300,18.77874
2011-12-20,21.80244,21.95099,21.53336,21.73751,937000,18.25646
2011-12-19,22.27585,22.35013,21.73751,21.81178,1818800,18.31884
2011-12-16,22.53577,22.69348,22.29444,22.38722,1433900,18.80213
2011-12-15,22.35938,22.70283,22.18307,22.60071,3020800,18.98142
2011-12-14,22.36863,22.64714,22.31294,22.39647,1294600,18.80989
2011-12-13,22.37797,22.68423,22.29444,22.42431,1416300,18.83328
2011-12-12,23.02768,23.09261,22.70283,22.80485,1494000,19.15288
2011-12-09,22.72132,23.01834,22.49859,22.62855,2182700,19.00481
2011-12-08,23.12971,23.33394,22.83279,23.18548,2824400,19.47256
2011-12-07,22.972,23.51959,22.82344,23.12971,1510100,19.42571
2011-12-06,22.71208,23.00909,22.60071,22.76776,1734500,19.12173
2011-12-05,22.73992,23.01834,22.73992,22.83279,1466500,19.17634
2011-12-02,22.55427,22.6193,22.18307,22.6193,1498000,18.99704
2011-12-01,22.27585,22.60071,22.0902,22.60071,2196500,18.98142
2011-11-30,21.48693,21.48693,21.02286,21.47758,2059500,18.03816
2011-11-29,21.32912,21.57045,20.95783,21.57045,2798600,18.11616
2011-11-28,20.23384,20.96718,20.15041,20.94858,1559900,17.59387
2011-11-25,20.25244,20.25244,19.6956,19.84405,2215600,16.66622
2011-11-24,20.50302,20.57729,20.24319,20.35456,2039700,17.09497
2011-11-23,21.11564,21.19916,20.64232,20.70725,1785200,17.39119
2011-11-22,21.32912,21.66323,21.0507,21.25485,1738100,17.85109
2011-11-21,21.53336,21.81641,21.44984,21.70041,1050000,18.22531
2011-11-18,21.67257,22.56361,21.51477,21.57045,1848700,18.11616
2011-11-17,21.81178,22.38722,21.58905,22.22942,1914200,18.66959
2011-11-16,22.36863,22.50793,21.83963,21.85822,2045500,18.35784
2011-11-15,21.99743,22.40581,21.69107,22.30369,2780000,18.73197
2011-11-14,22.27585,22.41506,22.15514,22.16448,1967300,18.61506
2011-11-11,21.53336,21.88606,21.18066,21.88606,1646200,18.38122
2011-11-10,20.88356,21.57045,20.88356,21.53336,2028100,18.085
2011-11-09,21.76535,21.98809,21.67257,21.94175,2184700,18.42799
2011-11-08,21.48693,21.56121,21.03211,21.31053,3031300,17.89786
2011-11-07,21.71891,21.89531,21.28269,21.38481,1492600,17.96024
2011-11-04,22.13664,22.34078,22.00668,22.27585,1400500,18.19336
2011-11-03,21.68182,21.95099,21.28269,21.57045,2367000,17.61724
2011-11-02,21.81178,22.15514,21.54261,21.92315,2292500,17.9053
2011-11-01,22.72132,22.7956,22.30369,22.55427,1884800,18.42076
2011-10-31,23.20398,23.45456,22.96265,23.12046,2373000,18.88318
2011-10-28,23.72373,23.91872,22.93481,23.34319,5792200,19.06509
2011-10-27,21.17132,22.79098,21.17132,22.60071,2900300,18.45868
2011-10-26,21.16207,21.55186,20.94858,21.44984,1664200,17.51873
2011-10-25,21.82103,21.85822,21.37556,21.44049,2607500,17.5111
2011-10-24,21.48693,21.74676,21.35697,21.66323,2233600,17.69302
2011-10-21,21.30128,21.69107,20.82787,20.91149,2023300,17.07905
2011-10-20,21.96024,21.96024,21.19916,21.34772,2885000,17.43533
2011-10-19,22.92556,23.01834,22.06236,22.0902,2242900,18.04174
2011-10-18,22.55427,22.68423,22.4615,22.4615,2201800,18.34498
2011-10-17,22.99984,23.20398,22.86063,23.05552,1119200,18.83014
2011-10-14,22.73992,23.10196,22.47074,22.47074,3534700,18.35254
2011-10-13,23.16689,23.41747,22.86063,22.98125,2585400,18.76948
2011-10-12,23.11121,23.15764,22.54502,22.9534,3091200,18.74674
2011-10-11,23.25042,23.4825,22.88847,23.3061,2441300,19.0348
2011-10-10,22.18307,22.87913,21.81178,22.68423,2290100,18.5269
2011-10-07,21.39406,22.39647,20.92074,22.33153,3062600,18.23884
2011-10-06,20.09463,20.92074,19.71409,20.92074,2983800,17.0866
2011-10-05,19.98327,20.04829,19.30571,19.56563,2880900,15.97985
2011-10-04,19.58423,19.68163,19.06438,19.30571,3752100,15.76756
2011-10-03,20.64232,20.72585,19.84405,19.89974,1629800,16.25272
2011-09-30,20.92999,21.51477,20.80937,21.227,4264000,17.33674
2011-09-29,20.69801,20.8929,20.24319,20.8929,3191700,17.06386
2011-09-28,20.14107,20.92074,19.96477,20.92074,2994200,17.0866
2011-09-27,19.20369,20.34531,19.14791,20.34531,2742400,16.61663
2011-09-26,19.58423,19.72344,18.50754,18.59107,2353900,15.18389
2011-09-23,19.18509,19.75128,18.93452,19.22219,3226600,15.69934
2011-09-22,19.677,19.81621,19.44492,19.63057,1913600,16.03288
2011-09-21,20.00186,20.41024,19.74194,20.41024,1586600,16.66966
2011-09-20,20.13182,20.41949,19.70485,19.76053,1411900,16.13902
2011-09-19,20.78153,20.80012,20.17816,20.2246,1320900,16.51804
2011-09-16,20.46593,20.94858,20.30812,20.8929,2039500,17.06386
2011-09-15,20.29887,20.59589,19.39858,19.90899,2893100,16.26027
2011-09-14,20.54945,20.79078,19.68625,19.71409,2111900,16.1011
2011-09-13,20.58664,20.86506,20.28028,20.47527,1747800,16.72277
2011-09-12,20.77219,20.77219,20.21535,20.44733,2278800,16.69996
2011-09-09,21.53336,21.69107,21.27344,21.34772,2345300,17.43533
2011-09-08,22.24801,22.36863,21.38481,21.53336,2530400,17.58695
2011-09-07,21.5797,21.87672,21.11564,21.83963,3421300,17.83708
2011-09-06,21.4219,21.94175,21.35697,21.49618,2485200,17.55658
2011-09-05,22.43365,22.82344,22.31294,22.31294,2508400,18.22366
2011-09-02,24.03934,24.08578,23.20398,23.34319,1922400,19.06509
2011-09-01,24.40129,24.67046,24.10427,24.19714,1748300,19.76254
2011-08-31,23.76092,24.03934,23.76092,23.98366,1538100,19.58818
2011-08-30,23.61237,23.95581,23.52884,23.8352,2072200,19.46693
2011-08-29,22.78635,23.41747,22.78635,23.10196,1580000,18.86807
2011-08-26,22.55427,22.6193,22.19232,22.50793,2713900,18.38291
2011-08-25,22.60071,22.82344,22.34078,22.64714,1253200,18.49661
2011-08-24,23.01834,23.19473,22.19232,22.2851,1848100,18.20092
2011-08-23,22.04377,22.68423,21.76535,22.68423,2306000,18.5269
2011-08-22,21.83038,22.23876,21.4034,21.78394,2269700,17.79161
2011-08-19,22.6378,22.69348,22.11805,22.14589,2368100,18.08722
2011-08-18,23.94656,24.03009,23.15764,23.501,3439900,19.19398
2011-08-17,23.34319,24.06718,23.01834,23.92797,2503700,19.5427
2011-08-16,22.86063,23.59387,22.73992,23.28751,2766000,19.01961
2011-08-15,22.2851,22.73992,22.19232,22.52643,1493500,18.39802
2011-08-12,21.90456,22.2666,21.7561,21.88606,2664200,17.87501
